Vignette_ID,Subset,Profile,Cue,Emot_intense,Emot_aver,Other_Harm,Self_Harm,Other_Ben,Self_Ben,Premeditation,Legality,Social_Norm_Violation,Socialness,Freq,P_Famil,G_Famil,OnceVRepeat,Act_Diff,MJ,Vignette
1,4,1,19,2,1.976851852,2.277777778,1.967592593,1.805555556,3.958333333,3.023148148,3.185185185,3.351851852,2.263888889,5.097222222,3.171296296,2.75462963,2.587962963,3.49537037,3.37037037,"I used to work for the federal government. I used a calculator from work at home for some audits. When I left government services, I kept the calculator."
3,3,3,7,4.982222222,4.32,4.097777778,3.502222222,2.835555556,4.671111111,4.968888889,4.906666667,2.911111111,5.373333333,3.964444444,1.777777778,1.986666667,1.942222222,5.142222222,3.137777778,I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.
4,4,2,19,3.967592593,3.861111111,4.277777778,4.222222222,1.240740741,3.12962963,4.541666667,1.24537037,1.24537037,5.152777778,4.685185185,1.449074074,2.055555556,2.546296296,4.708333333,1.333333333,"When I was younger, my brother and neighborhood friend and I went on a shoplifting spree. We took a lot of clothing. Then we got caught and we never stole again."
8,1,2,19,3.459090909,3.459090909,4.295454545,3.904545455,2.75,3.777272727,4.327272727,2.063636364,1.986363636,4.381818182,4.786363636,2.422727273,2.8,4,4.795454545,2.159090909,"When I was little I would steal from supermarkets. I would steal things that my brothers and I wanted. I got caught a couple of times, but just kept doing it."
11,3,2,19,3.942222222,4.177777778,4.32,3.884444444,4.151111111,4.048888889,4.782222222,2.72,2.413333333,5.048888889,4.737777778,2.662222222,2.768888889,3.92,4.804444444,2.404444444,When I was in third grade I really wanted to be popular. I would steal money from my DadÍs wallet to buy ice cream for all of my friends. Eventually he found out.
12,3,3,6,3.226666667,3.493333333,3.982222222,3.04,2.217777778,3,3.297777778,5.626666667,3.515555556,5.124444444,5.288888889,3.724444444,3.244444444,4.351111111,4.288888889,3.386666667,I keep promising to take my kids to Disney World. They keep asking me when we are going to go. We still havenÍt gone and I still keep telling them we will go.
18,4,3,9,3.912037037,3.907407407,4.689814815,2.62962963,1.981481481,5.074074074,4.814814815,5.685185185,3.217592593,4.564814815,4.740740741,2.217592593,2.773148148,3.560185185,4.856481481,2.888888889,"Instead of contributing more to my motherÍs economic stability, by helping her out monetarily in her retirement, I traveled. I spent money on travel, on vacations. Some of that money couldÍve gone to her."
20,3,5,3,5.328888889,4.795555556,2.395555556,2.515555556,5.066666667,3.564444444,3.151111111,6.151111111,5.475555556,5.413333333,4.777777778,3.617777778,3.497777778,3.248888889,2.84,5.866666667,A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her. 
21,3,2,6,3.568888889,3.76,4.182222222,2.808888889,1.933333333,2.355555556,3.191111111,3.302222222,2.466666667,4.266666667,3.208888889,2.035555556,2.013333333,2.257777778,5.035555556,2.662222222,When I was in sixth grade some kids from my class stole a small tree from someoneÍs yard and planted it in the schoolyard. I went over to the tree and stomped on it.
29,4,1,11,3.458333333,2.541666667,2.527777778,2.384259259,5.851851852,3.953703704,5.648148148,2.546296296,3.472222222,5.12962963,4.273148148,1.888888889,2.476851852,4.481481481,3.930555556,4.421296296,About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didnÍt have to pay exorbitant amounts for their medications that they needed.
